4:14:01 PM | info | Position closed: NVDA | P&L: $-426.39 | Daily P&L: $-426.39 | Bal: $9573.61
4:14:01 PM | info | Position closed: NVDA | P&L: $230.45 | Daily P&L: $-195.94 | Bal: $9804.06
4:14:01 PM | info | Position closed: NVDA | P&L: $98.01 | Daily P&L: $-97.93 | Bal: $9902.07
4:14:01 PM | info | Position closed: NVDA | P&L: $-121.48 | Daily P&L: $-219.41 | Bal: $9780.59
4:14:01 PM | info | Position closed: NVDA | P&L: $-101.74 | Daily P&L: $-321.16 | Bal: $9678.84
4:14:01 PM | info | Position closed: NVDA | P&L: $189.03 | Daily P&L: $-132.12 | Bal: $9867.88
4:14:01 PM | info | Position closed: NVDA | P&L: $105.61 | Daily P&L: $-26.51 | Bal: $9973.49
4:14:01 PM | info | Position closed: NVDA | P&L: $-101.12 | Daily P&L: $-127.63 | Bal: $9872.37
4:14:01 PM | info | Position closed: NVDA | P&L: $-112.14 | Daily P&L: $-239.77 | Bal: $9760.23
4:14:01 PM | info | Position closed: NVDA | P&L: $-156.64 | Daily P&L: $-396.41 | Bal: $9603.59
4:14:01 PM | info | Position closed: NVDA | P&L: $-182.24 | Daily P&L: $-578.65 | Bal: $9421.35
4:14:05 PM | info | Position closed: NVDA | P&L: $-235.20 | Daily P&L: $-235.20 | Bal: $9186.15
4:14:05 PM | info | Position closed: NVDA | P&L: $106.95 | Daily P&L: $-128.25 | Bal: $9293.10
4:14:05 PM | info | Position closed: NVDA | P&L: $-161.21 | Daily P&L: $-289.46 | Bal: $9131.89
4:14:05 PM | info | Position closed: NVDA | P&L: $-136.85 | Daily P&L: $-426.31 | Bal: $8995.04
4:14:05 PM | info | Position closed: NVDA | P&L: $-94.77 | Daily P&L: $-521.08 | Bal: $8900.27
4:14:05 PM | info | Position closed: NVDA | P&L: $-157.93 | Daily P&L: $-157.93 | Bal: $8742.34
4:14:05 PM | info | Position closed: NVDA | P&L: $149.27 | Daily P&L: $-8.66 | Bal: $8891.61
4:14:05 PM | info | Position closed: NVDA | P&L: $138.56 | Daily P&L: $129.90 | Bal: $9030.17
4:14:05 PM | info | Position closed: NVDA | P&L: $221.34 | Daily P&L: $351.24 | Bal: $9251.51
4:14:05 PM | info | Position closed: NVDA | P&L: $-132.01 | Daily P&L: $219.23 | Bal: $9119.50
4:14:05 PM | info | Position closed: NVDA | P&L: $-144.96 | Daily P&L: $74.27 | Bal: $8974.54
4:14:05 PM | info | Position closed: NVDA | P&L: $126.85 | Daily P&L: $201.12 | Bal: $9101.39
4:14:05 PM | info | Position closed: NVDA | P&L: $107.31 | Daily P&L: $308.43 | Bal: $9208.70
4:14:05 PM | info | Position closed: NVDA | P&L: $97.15 | Daily P&L: $405.58 | Bal: $9305.86
4:14:05 PM | info | Position closed: NVDA | P&L: $138.18 | Daily P&L: $543.76 | Bal: $9444.04
4:14:05 PM | info | Position closed: NVDA | P&L: $144.30 | Daily P&L: $688.07 | Bal: $9588.34
4:14:05 PM | info | Position closed: NVDA | P&L: $144.90 | Daily P&L: $832.97 | Bal: $9733.24
4:14:05 PM | info | Position closed: NVDA | P&L: $-135.24 | Daily P&L: $697.73 | Bal: $9598.00
4:14:05 PM | info | Position closed: NVDA | P&L: $-126.40 | Daily P&L: $571.33 | Bal: $9471.60
4:14:05 PM | info | Position closed: NVDA | P&L: $-104.18 | Daily P&L: $-104.18 | Bal: $9367.42
4:14:05 PM | info | Position closed: NVDA | P&L: $-250.26 | Daily P&L: $-354.44 | Bal: $9117.16
4:14:05 PM | info | Position closed: NVDA | P&L: $-149.52 | Daily P&L: $-503.96 | Bal: $8967.64
4:14:05 PM | info | Position closed: NVDA | P&L: $223.79 | Daily P&L: $223.79 | Bal: $9191.43
4:14:05 PM | info | Position closed: NVDA | P&L: $155.54 | Daily P&L: $379.34 | Bal: $9346.98
4:14:05 PM | info | Position closed: NVDA | P&L: $-316.80 | Daily P&L: $62.54 | Bal: $9030.18
4:14:05 PM | info | Position closed: NVDA | P&L: $224.21 | Daily P&L: $286.75 | Bal: $9254.39
4:14:05 PM | info | Position closed: NVDA | P&L: $-124.57 | Daily P&L: $162.17 | Bal: $9129.81
4:14:05 PM | info | Position closed: NVDA | P&L: $-113.75 | Daily P&L: $48.42 | Bal: $9016.06
4:14:05 PM | info | Position closed: NVDA | P&L: $-163.61 | Daily P&L: $-115.19 | Bal: $8852.45
4:14:05 PM | info | Position closed: NVDA | P&L: $-136.39 | Daily P&L: $-251.58 | Bal: $8716.06
4:14:05 PM | info | Position closed: NVDA | P&L: $-98.25 | Daily P&L: $-349.83 | Bal: $8617.81
4:14:05 PM | info | Position closed: NVDA | P&L: $102.60 | Daily P&L: $-247.23 | Bal: $8720.41
4:14:05 PM | info | Position closed: NVDA | P&L: $108.23 | Daily P&L: $-139.00 | Bal: $8828.64
4:14:05 PM | info | Position closed: NVDA | P&L: $-115.92 | Daily P&L: $-115.92 | Bal: $8712.72
4:14:05 PM | info | Position closed: NVDA | P&L: $-146.96 | Daily P&L: $-262.88 | Bal: $8565.76
4:14:05 PM | info | Position closed: NVDA | P&L: $-109.02 | Daily P&L: $-371.90 | Bal: $8456.74
4:14:05 PM | info | Position closed: NVDA | P&L: $95.16 | Daily P&L: $-276.74 | Bal: $8551.90
4:14:05 PM | info | Position closed: NVDA | P&L: $91.06 | Daily P&L: $-185.68 | Bal: $8642.96
4:14:05 PM | info | Position closed: NVDA | P&L: $95.51 | Daily P&L: $-90.17 | Bal: $8738.47
4:14:05 PM | info | Position closed: NVDA | P&L: $-102.40 | Daily P&L: $-192.57 | Bal: $8636.07
